10:29:09.362 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.5.Final
10:29:11.599 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of e8ed4861-db59-454d-8aca-185c9254fbf4_config-0
10:29:11.645 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 31 ms to scan 1 urls, producing 3 keys and 6 values 
10:29:11.675 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 14 ms to scan 1 urls, producing 4 keys and 9 values 
10:29:11.689 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 10 ms to scan 1 urls, producing 3 keys and 10 values 
10:29:11.902 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 209 ms to scan 199 urls, producing 0 keys and 0 values 
10:29:11.927 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 12 ms to scan 1 urls, producing 1 keys and 5 values 
10:29:11.944 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 15 ms to scan 1 urls, producing 1 keys and 7 values 
10:29:11.956 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 10 ms to scan 1 urls, producing 2 keys and 8 values 
10:29:12.124 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 166 ms to scan 199 urls, producing 0 keys and 0 values 
10:29:12.126 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [e8ed4861-db59-454d-8aca-185c9254fbf4_config-0] RpcClient init label, labels = {module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
10:29:12.127 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [e8ed4861-db59-454d-8aca-185c9254fbf4_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$334/832145584
10:29:12.127 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [e8ed4861-db59-454d-8aca-185c9254fbf4_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$335/224060798
10:29:12.128 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [e8ed4861-db59-454d-8aca-185c9254fbf4_config-0] Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
10:29:12.128 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [e8ed4861-db59-454d-8aca-185c9254fbf4_config-0] RpcClient init, ServerListFactory = com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
10:29:12.135 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [e8ed4861-db59-454d-8aca-185c9254fbf4_config-0] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
10:29:17.846 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [e8ed4861-db59-454d-8aca-185c9254fbf4_config-0] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
10:29:20.861 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [e8ed4861-db59-454d-8aca-185c9254fbf4_config-0] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
10:29:22.991 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [e8ed4861-db59-454d-8aca-185c9254fbf4_config-0] Success to connect to server [127.0.0.1:8848] on start up, connectionId = 1691116162772_127.0.0.1_51437
10:29:22.992 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [e8ed4861-db59-454d-8aca-185c9254fbf4_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
10:29:22.992 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [e8ed4861-db59-454d-8aca-185c9254fbf4_config-0] Notify connected event to listeners.
10:29:22.993 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [e8ed4861-db59-454d-8aca-185c9254fbf4_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$344/102052782
10:29:23.103 [main] INFO  c.x.a.XmapAppApplication - [logStartupProfileInfo,637] - The following 1 profile is active: "dev"
10:29:25.799 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-9205"]
10:29:25.799 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
10:29:25.799 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.70]
10:29:26.038 [main] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
10:29:29.785 [main] INFO  c.a.d.p.DruidDataSource - [init,996] - {dataSource-1,master} inited
10:29:29.787 [main] INFO  c.b.d.d.DynamicRoutingDataSource - [addDataSource,154] - dynamic-datasource - add a datasource named [master] success
10:29:29.788 [main] INFO  c.b.d.d.DynamicRoutingDataSource - [afterPropertiesSet,234] - dynamic-datasource initial loaded [1] datasource,primary datasource named [master]
10:29:30.839 [main] INFO  c.a.c.s.SentinelWebMvcConfigurer - [addInterceptors,52] - [Sentinel Starter] register SentinelWebInterceptor with urlPatterns: [/**].
10:29:53.292 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of 59dea133-36e4-4954-820f-3feb0fd74dc4
10:29:53.292 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [59dea133-36e4-4954-820f-3feb0fd74dc4] RpcClient init label, labels = {module=naming, source=sdk}
10:29:53.295 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [59dea133-36e4-4954-820f-3feb0fd74dc4] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
10:29:53.296 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [59dea133-36e4-4954-820f-3feb0fd74dc4] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
10:29:53.296 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [59dea133-36e4-4954-820f-3feb0fd74dc4] Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
10:29:53.299 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [59dea133-36e4-4954-820f-3feb0fd74dc4] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
10:29:53.427 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [59dea133-36e4-4954-820f-3feb0fd74dc4] Success to connect to server [127.0.0.1:8848] on start up, connectionId = 1691116193305_127.0.0.1_51848
10:29:53.427 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [59dea133-36e4-4954-820f-3feb0fd74dc4] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
10:29:53.427 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [59dea133-36e4-4954-820f-3feb0fd74dc4] Notify connected event to listeners.
10:29:53.428 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [59dea133-36e4-4954-820f-3feb0fd74dc4] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$344/102052782
10:29:53.482 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-9205"]
10:29:53.511 [main] INFO  c.a.c.n.r.NacosServiceRegistry - [register,75] - nacos registry, DEFAULT_GROUP xmap-app 10.100.4.8:9205 register finished
10:29:54.123 [nacos-grpc-client-executor-5] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [59dea133-36e4-4954-820f-3feb0fd74dc4] Receive server push request, request = NotifySubscriberRequest, requestId = 35
10:29:54.127 [nacos-grpc-client-executor-5] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [59dea133-36e4-4954-820f-3feb0fd74dc4] Ack server push request, request = NotifySubscriberRequest, requestId = 35
10:30:03.231 [main] INFO  c.x.a.XmapAppApplication - [logStarted,61] - Started XmapAppApplication in 55.809 seconds (JVM running for 58.715)
10:30:03.249 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListener,129] - [Nacos Config] Listening config: dataId=xmap-app-dev.yml, group=DEFAULT_GROUP
10:30:03.250 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListener,129] - [Nacos Config] Listening config: dataId=xmap-app.yml, group=DEFAULT_GROUP
10:30:03.251 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListener,129] - [Nacos Config] Listening config: dataId=xmap-app, group=DEFAULT_GROUP
10:30:16.569 [RMI TCP Connection(7)-10.100.4.8] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
14:00:37.357 [nacos-grpc-client-executor-1060] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [e8ed4861-db59-454d-8aca-185c9254fbf4_config-0] Receive server push request, request = ClientDetectionRequest, requestId = 102
14:00:37.358 [nacos-grpc-client-executor-1060] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [e8ed4861-db59-454d-8aca-185c9254fbf4_config-0] Ack server push request, request = ClientDetectionRequest, requestId = 102
14:00:37.361 [nacos-grpc-client-executor-1041] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [59dea133-36e4-4954-820f-3feb0fd74dc4] Receive server push request, request = ClientDetectionRequest, requestId = 106
14:00:37.362 [nacos-grpc-client-executor-1041] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [59dea133-36e4-4954-820f-3feb0fd74dc4] Ack server push request, request = ClientDetectionRequest, requestId = 106
