09:20:02.350 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.5.Final
09:20:05.966 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of 4c37326b-5bd7-4d23-845d-60447cd5ab1a_config-0
09:20:06.007 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 28 ms to scan 1 urls, producing 3 keys and 6 values 
09:20:06.027 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 11 ms to scan 1 urls, producing 4 keys and 9 values 
09:20:06.044 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 15 ms to scan 1 urls, producing 3 keys and 10 values 
09:20:06.221 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 172 ms to scan 199 urls, producing 0 keys and 0 values 
09:20:06.244 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 11 ms to scan 1 urls, producing 1 keys and 5 values 
09:20:06.256 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 11 ms to scan 1 urls, producing 1 keys and 7 values 
09:20:06.268 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 10 ms to scan 1 urls, producing 2 keys and 8 values 
09:20:06.370 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 100 ms to scan 199 urls, producing 0 keys and 0 values 
09:20:06.371 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4c37326b-5bd7-4d23-845d-60447cd5ab1a_config-0] RpcClient init label, labels = {module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
09:20:06.371 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4c37326b-5bd7-4d23-845d-60447cd5ab1a_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$334/832145584
09:20:06.372 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4c37326b-5bd7-4d23-845d-60447cd5ab1a_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$335/224060798
09:20:06.372 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4c37326b-5bd7-4d23-845d-60447cd5ab1a_config-0] Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
09:20:06.373 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4c37326b-5bd7-4d23-845d-60447cd5ab1a_config-0] RpcClient init, ServerListFactory = com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
09:20:06.377 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4c37326b-5bd7-4d23-845d-60447cd5ab1a_config-0] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
09:20:11.733 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4c37326b-5bd7-4d23-845d-60447cd5ab1a_config-0] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
09:20:12.760 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4c37326b-5bd7-4d23-845d-60447cd5ab1a_config-0] Success to connect to server [127.0.0.1:8848] on start up, connectionId = 1690852812572_127.0.0.1_57785
09:20:12.760 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4c37326b-5bd7-4d23-845d-60447cd5ab1a_config-0] Notify connected event to listeners.
09:20:12.761 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4c37326b-5bd7-4d23-845d-60447cd5ab1a_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
09:20:12.762 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4c37326b-5bd7-4d23-845d-60447cd5ab1a_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$344/518167684
09:20:12.828 [main] INFO  c.x.b.XmapBigdataApplication - [logStartupProfileInfo,637] - The following 1 profile is active: "dev"
09:20:14.783 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-9207"]
09:20:14.784 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
09:20:14.784 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.70]
09:20:14.970 [main] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
09:20:18.142 [main] INFO  c.a.d.p.DruidDataSource - [init,996] - {dataSource-1,master} inited
09:20:18.143 [main] INFO  c.b.d.d.DynamicRoutingDataSource - [addDataSource,154] - dynamic-datasource - add a datasource named [master] success
09:20:18.144 [main] INFO  c.b.d.d.DynamicRoutingDataSource - [afterPropertiesSet,234] - dynamic-datasource initial loaded [1] datasource,primary datasource named [master]
09:20:18.810 [main] INFO  c.a.c.s.SentinelWebMvcConfigurer - [addInterceptors,52] - [Sentinel Starter] register SentinelWebInterceptor with urlPatterns: [/**].
09:20:30.122 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of f4f187e4-9899-4e51-ad12-608d7e270a3d
09:20:30.122 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f4f187e4-9899-4e51-ad12-608d7e270a3d] RpcClient init label, labels = {module=naming, source=sdk}
09:20:30.123 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f4f187e4-9899-4e51-ad12-608d7e270a3d] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
09:20:30.123 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f4f187e4-9899-4e51-ad12-608d7e270a3d] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
09:20:30.124 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f4f187e4-9899-4e51-ad12-608d7e270a3d] Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
09:20:30.124 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f4f187e4-9899-4e51-ad12-608d7e270a3d] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
09:20:30.245 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f4f187e4-9899-4e51-ad12-608d7e270a3d] Success to connect to server [127.0.0.1:8848] on start up, connectionId = 1690852830129_127.0.0.1_58019
09:20:30.245 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f4f187e4-9899-4e51-ad12-608d7e270a3d] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
09:20:30.245 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f4f187e4-9899-4e51-ad12-608d7e270a3d] Notify connected event to listeners.
09:20:30.245 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f4f187e4-9899-4e51-ad12-608d7e270a3d] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$344/518167684
09:20:30.273 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-9207"]
09:20:30.291 [main] INFO  c.a.c.n.r.NacosServiceRegistry - [register,75] - nacos registry, DEFAULT_GROUP xmap-bigdata 10.100.4.8:9207 register finished
09:20:30.839 [nacos-grpc-client-executor-9] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f4f187e4-9899-4e51-ad12-608d7e270a3d] Receive server push request, request = NotifySubscriberRequest, requestId = 11
09:20:30.843 [nacos-grpc-client-executor-9] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f4f187e4-9899-4e51-ad12-608d7e270a3d] Ack server push request, request = NotifySubscriberRequest, requestId = 11
09:20:37.637 [main] INFO  c.x.b.XmapBigdataApplication - [logStarted,61] - Started XmapBigdataApplication in 38.251 seconds (JVM running for 39.856)
09:20:37.646 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListener,129] - [Nacos Config] Listening config: dataId=xmap-bigdata.yml, group=DEFAULT_GROUP
09:20:37.647 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListener,129] - [Nacos Config] Listening config: dataId=xmap-bigdata, group=DEFAULT_GROUP
09:20:37.648 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListener,129] - [Nacos Config] Listening config: dataId=xmap-bigdata-dev.yml, group=DEFAULT_GROUP
09:20:46.028 [RMI TCP Connection(3)-10.100.4.8] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
10:37:01.232 [nacos-grpc-client-executor-834] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4c37326b-5bd7-4d23-845d-60447cd5ab1a_config-0] Receive server push request, request = ClientDetectionRequest, requestId = 70
10:37:01.233 [nacos-grpc-client-executor-834] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4c37326b-5bd7-4d23-845d-60447cd5ab1a_config-0] Ack server push request, request = ClientDetectionRequest, requestId = 70
13:58:17.101 [nacos-grpc-client-executor-1801] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f4f187e4-9899-4e51-ad12-608d7e270a3d] Receive server push request, request = ClientDetectionRequest, requestId = 105
13:58:17.103 [nacos-grpc-client-executor-1801] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f4f187e4-9899-4e51-ad12-608d7e270a3d] Ack server push request, request = ClientDetectionRequest, requestId = 105
14:09:25.375 [nacos-grpc-client-executor-1936] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4c37326b-5bd7-4d23-845d-60447cd5ab1a_config-0] Receive server push request, request = ClientDetectionRequest, requestId = 123
14:09:25.376 [nacos-grpc-client-executor-1936] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4c37326b-5bd7-4d23-845d-60447cd5ab1a_config-0] Ack server push request, request = ClientDetectionRequest, requestId = 123
14:13:50.830 [nacos-grpc-client-executor-2008] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4c37326b-5bd7-4d23-845d-60447cd5ab1a_config-0] Receive server push request, request = ClientDetectionRequest, requestId = 145
14:13:50.831 [nacos-grpc-client-executor-2008] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4c37326b-5bd7-4d23-845d-60447cd5ab1a_config-0] Ack server push request, request = ClientDetectionRequest, requestId = 145
14:13:50.836 [nacos-grpc-client-executor-1922] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f4f187e4-9899-4e51-ad12-608d7e270a3d] Receive server push request, request = ClientDetectionRequest, requestId = 159
14:13:50.836 [nacos-grpc-client-executor-1922] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [f4f187e4-9899-4e51-ad12-608d7e270a3d] Ack server push request, request = ClientDetectionRequest, requestId = 159
16:36:09.534 [nacos-grpc-client-executor-3917] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4c37326b-5bd7-4d23-845d-60447cd5ab1a_config-0] Receive server push request, request = ClientDetectionRequest, requestId = 190
16:36:09.534 [nacos-grpc-client-executor-3917] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [4c37326b-5bd7-4d23-845d-60447cd5ab1a_config-0] Ack server push request, request = ClientDetectionRequest, requestId = 190
