11:55:55.936 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.5.Final
11:56:00.502 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of 48ef08fd-1ed4-4f16-9a8b-d88846e2da61_config-0
11:56:00.582 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 56 ms to scan 1 urls, producing 3 keys and 6 values 
11:56:00.617 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 17 ms to scan 1 urls, producing 4 keys and 9 values 
11:56:00.635 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 15 ms to scan 1 urls, producing 3 keys and 10 values 
11:56:00.883 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 244 ms to scan 199 urls, producing 0 keys and 0 values 
11:56:00.913 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 16 ms to scan 1 urls, producing 1 keys and 5 values 
11:56:00.928 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 13 ms to scan 1 urls, producing 1 keys and 7 values 
11:56:00.945 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 12 ms to scan 1 urls, producing 2 keys and 8 values 
11:56:01.138 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 190 ms to scan 199 urls, producing 0 keys and 0 values 
11:56:01.139 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [48ef08fd-1ed4-4f16-9a8b-d88846e2da61_config-0] RpcClient init label, labels = {module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
11:56:01.140 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [48ef08fd-1ed4-4f16-9a8b-d88846e2da61_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$334/832145584
11:56:01.140 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [48ef08fd-1ed4-4f16-9a8b-d88846e2da61_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$335/224060798
11:56:01.141 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [48ef08fd-1ed4-4f16-9a8b-d88846e2da61_config-0] Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
11:56:01.142 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [48ef08fd-1ed4-4f16-9a8b-d88846e2da61_config-0] RpcClient init, ServerListFactory = com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
11:56:01.152 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [48ef08fd-1ed4-4f16-9a8b-d88846e2da61_config-0] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
11:56:10.382 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [48ef08fd-1ed4-4f16-9a8b-d88846e2da61_config-0] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
11:56:13.416 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [48ef08fd-1ed4-4f16-9a8b-d88846e2da61_config-0] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
11:56:16.428 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [48ef08fd-1ed4-4f16-9a8b-d88846e2da61_config-0] Try to reconnect to a new server, server is  not appointed, will choose a random server.
11:56:16.432 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [48ef08fd-1ed4-4f16-9a8b-d88846e2da61_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
11:56:16.433 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [48ef08fd-1ed4-4f16-9a8b-d88846e2da61_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$344/521331027
11:56:17.832 [main] INFO  c.x.b.XmapBusinessApplication - [logStartupProfileInfo,637] - The following 1 profile is active: "dev"
11:56:20.329 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-9204"]
11:56:20.331 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
11:56:20.331 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.70]
11:56:20.524 [main] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
11:56:21.615 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [48ef08fd-1ed4-4f16-9a8b-d88846e2da61_config-0] Success to connect a server [127.0.0.1:8848], connectionId = 1691380581413_127.0.0.1_59603
11:56:21.616 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [48ef08fd-1ed4-4f16-9a8b-d88846e2da61_config-0] Notify connected event to listeners.
11:56:26.096 [main] INFO  c.a.d.p.DruidDataSource - [init,996] - {dataSource-1,master} inited
11:56:26.097 [main] INFO  c.b.d.d.DynamicRoutingDataSource - [addDataSource,154] - dynamic-datasource - add a datasource named [master] success
11:56:26.097 [main] INFO  c.b.d.d.DynamicRoutingDataSource - [afterPropertiesSet,234] - dynamic-datasource initial loaded [1] datasource,primary datasource named [master]
11:56:27.356 [main] INFO  c.a.c.s.SentinelWebMvcConfigurer - [addInterceptors,52] - [Sentinel Starter] register SentinelWebInterceptor with urlPatterns: [/**].
11:56:56.181 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of 07f6c645-2394-49ac-b894-8e7158b2034b
11:56:56.181 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [07f6c645-2394-49ac-b894-8e7158b2034b] RpcClient init label, labels = {module=naming, source=sdk}
11:56:56.183 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [07f6c645-2394-49ac-b894-8e7158b2034b] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
11:56:56.183 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [07f6c645-2394-49ac-b894-8e7158b2034b] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
11:56:56.183 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [07f6c645-2394-49ac-b894-8e7158b2034b] Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
11:56:56.184 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [07f6c645-2394-49ac-b894-8e7158b2034b] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
