11:55:59.666 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.5.Final
11:56:05.285 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of 9a4fbfea-33f0-443f-a75f-65857ad9d6c1_config-0
11:56:05.357 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 48 ms to scan 1 urls, producing 3 keys and 6 values 
11:56:05.387 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 17 ms to scan 1 urls, producing 4 keys and 9 values 
11:56:05.406 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 16 ms to scan 1 urls, producing 3 keys and 10 values 
11:56:05.716 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 307 ms to scan 199 urls, producing 0 keys and 0 values 
11:56:05.745 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 16 ms to scan 1 urls, producing 1 keys and 5 values 
11:56:05.760 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 12 ms to scan 1 urls, producing 1 keys and 7 values 
11:56:05.775 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 12 ms to scan 1 urls, producing 2 keys and 8 values 
11:56:05.983 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 205 ms to scan 199 urls, producing 0 keys and 0 values 
11:56:05.985 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [9a4fbfea-33f0-443f-a75f-65857ad9d6c1_config-0] RpcClient init label, labels = {module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
11:56:05.985 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [9a4fbfea-33f0-443f-a75f-65857ad9d6c1_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$334/832145584
11:56:05.986 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [9a4fbfea-33f0-443f-a75f-65857ad9d6c1_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$335/224060798
11:56:05.987 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [9a4fbfea-33f0-443f-a75f-65857ad9d6c1_config-0] Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
11:56:05.987 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [9a4fbfea-33f0-443f-a75f-65857ad9d6c1_config-0] RpcClient init, ServerListFactory = com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
11:56:05.994 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [9a4fbfea-33f0-443f-a75f-65857ad9d6c1_config-0] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
11:56:19.677 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [9a4fbfea-33f0-443f-a75f-65857ad9d6c1_config-0] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
11:56:22.696 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [9a4fbfea-33f0-443f-a75f-65857ad9d6c1_config-0] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
11:56:25.715 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [9a4fbfea-33f0-443f-a75f-65857ad9d6c1_config-0] Try to reconnect to a new server, server is  not appointed, will choose a random server.
11:56:25.724 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [9a4fbfea-33f0-443f-a75f-65857ad9d6c1_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
11:56:25.725 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [9a4fbfea-33f0-443f-a75f-65857ad9d6c1_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$344/521331027
11:56:27.124 [main] INFO  c.x.c.XmapCommonServiceApplication - [logStartupProfileInfo,637] - The following 1 profile is active: "dev"
11:56:27.908 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [9a4fbfea-33f0-443f-a75f-65857ad9d6c1_config-0] Success to connect a server [127.0.0.1:8848], connectionId = 1691380587713_127.0.0.1_59694
11:56:27.920 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [9a4fbfea-33f0-443f-a75f-65857ad9d6c1_config-0] Notify connected event to listeners.
11:56:29.892 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-9208"]
11:56:29.893 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
11:56:29.894 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.70]
11:56:30.308 [main] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
11:56:39.779 [main] INFO  c.a.d.p.DruidDataSource - [init,996] - {dataSource-1,master} inited
11:56:39.781 [main] INFO  c.b.d.d.DynamicRoutingDataSource - [addDataSource,154] - dynamic-datasource - add a datasource named [master] success
11:56:39.781 [main] INFO  c.b.d.d.DynamicRoutingDataSource - [afterPropertiesSet,234] - dynamic-datasource initial loaded [1] datasource,primary datasource named [master]
11:56:41.464 [main] INFO  c.a.c.s.SentinelWebMvcConfigurer - [addInterceptors,52] - [Sentinel Starter] register SentinelWebInterceptor with urlPatterns: [/**].
11:57:09.603 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of 21efdb38-dd33-4d20-aeac-8f20d0198c29
11:57:09.604 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [21efdb38-dd33-4d20-aeac-8f20d0198c29] RpcClient init label, labels = {module=naming, source=sdk}
11:57:09.605 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [21efdb38-dd33-4d20-aeac-8f20d0198c29] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
11:57:09.605 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [21efdb38-dd33-4d20-aeac-8f20d0198c29] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
11:57:09.605 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [21efdb38-dd33-4d20-aeac-8f20d0198c29] Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
11:57:09.606 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [21efdb38-dd33-4d20-aeac-8f20d0198c29] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
11:57:09.720 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [21efdb38-dd33-4d20-aeac-8f20d0198c29] Success to connect to server [127.0.0.1:8848] on start up, connectionId = 1691380629610_127.0.0.1_62570
11:57:09.720 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [21efdb38-dd33-4d20-aeac-8f20d0198c29] Notify connected event to listeners.
11:57:09.720 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [21efdb38-dd33-4d20-aeac-8f20d0198c29] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
11:57:09.721 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [21efdb38-dd33-4d20-aeac-8f20d0198c29] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$344/521331027
11:57:09.762 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-9208"]
11:57:09.786 [main] INFO  c.a.c.n.r.NacosServiceRegistry - [register,75] - nacos registry, DEFAULT_GROUP xmap-commonservice 10.100.4.8:9208 register finished
11:57:10.317 [nacos-grpc-client-executor-5] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [21efdb38-dd33-4d20-aeac-8f20d0198c29] Receive server push request, request = NotifySubscriberRequest, requestId = 34
11:57:10.333 [nacos-grpc-client-executor-5] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [21efdb38-dd33-4d20-aeac-8f20d0198c29] Ack server push request, request = NotifySubscriberRequest, requestId = 34
11:57:20.325 [main] INFO  c.x.c.XmapCommonServiceApplication - [logStarted,61] - Started XmapCommonServiceApplication in 84.459 seconds (JVM running for 87.891)
11:57:20.336 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListener,129] - [Nacos Config] Listening config: dataId=xmap-commonservice-dev.yml, group=DEFAULT_GROUP
11:57:20.336 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListener,129] - [Nacos Config] Listening config: dataId=xmap-commonservice.yml, group=DEFAULT_GROUP
