01:02:56.104 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.5.Final
01:02:57.015 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of c142b78f-e44e-4f7b-9c2e-9b7af6ccf174_config-0
01:02:57.040 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 16 ms to scan 1 urls, producing 3 keys and 6 values 
01:02:57.055 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 8 ms to scan 1 urls, producing 4 keys and 9 values 
01:02:57.065 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 8 ms to scan 1 urls, producing 3 keys and 10 values 
01:02:57.201 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 134 ms to scan 199 urls, producing 0 keys and 0 values 
01:02:57.212 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 10 ms to scan 1 urls, producing 1 keys and 5 values 
01:02:57.228 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 13 ms to scan 1 urls, producing 1 keys and 7 values 
01:02:57.240 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 10 ms to scan 1 urls, producing 2 keys and 8 values 
01:02:57.356 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 113 ms to scan 199 urls, producing 0 keys and 0 values 
01:02:57.357 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [c142b78f-e44e-4f7b-9c2e-9b7af6ccf174_config-0] RpcClient init label, labels = {module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
01:02:57.357 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [c142b78f-e44e-4f7b-9c2e-9b7af6ccf174_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$334/832145584
01:02:57.357 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [c142b78f-e44e-4f7b-9c2e-9b7af6ccf174_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$335/224060798
01:02:57.358 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [c142b78f-e44e-4f7b-9c2e-9b7af6ccf174_config-0] Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
01:02:57.358 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [c142b78f-e44e-4f7b-9c2e-9b7af6ccf174_config-0] RpcClient init, ServerListFactory = com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
01:02:57.364 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [c142b78f-e44e-4f7b-9c2e-9b7af6ccf174_config-0] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
01:02:59.201 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [c142b78f-e44e-4f7b-9c2e-9b7af6ccf174_config-0] Success to connect to server [127.0.0.1:8848] on start up, connectionId = 1693414979033_127.0.0.1_60860
01:02:59.202 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [c142b78f-e44e-4f7b-9c2e-9b7af6ccf174_config-0] Notify connected event to listeners.
01:02:59.202 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [c142b78f-e44e-4f7b-9c2e-9b7af6ccf174_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
01:02:59.203 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [c142b78f-e44e-4f7b-9c2e-9b7af6ccf174_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$344/1788034018
01:02:59.293 [main] INFO  c.x.d.XmapDistributionApplication - [logStartupProfileInfo,637] - The following 1 profile is active: "dev"
01:03:01.054 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-9231"]
01:03:01.055 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
01:03:01.055 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.70]
01:03:01.258 [main] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
01:03:02.076 [main] INFO  c.a.d.p.DruidDataSource - [init,996] - {dataSource-1,master} inited
01:03:02.077 [main] INFO  c.b.d.d.DynamicRoutingDataSource - [addDataSource,154] - dynamic-datasource - add a datasource named [master] success
01:03:02.077 [main] INFO  c.b.d.d.DynamicRoutingDataSource - [afterPropertiesSet,234] - dynamic-datasource initial loaded [1] datasource,primary datasource named [master]
01:03:03.068 [main] INFO  c.a.c.s.SentinelWebMvcConfigurer - [addInterceptors,52] - [Sentinel Starter] register SentinelWebInterceptor with urlPatterns: [/**].
