11:56:55.295 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.5.Final
11:57:06.246 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of d9398ccd-4495-438f-9eea-d534cf8e2d7f_config-0
11:57:06.306 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 41 ms to scan 1 urls, producing 3 keys and 6 values 
11:57:06.349 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 25 ms to scan 1 urls, producing 4 keys and 9 values 
11:57:06.372 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 19 ms to scan 1 urls, producing 3 keys and 10 values 
11:57:06.620 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 244 ms to scan 199 urls, producing 0 keys and 0 values 
11:57:06.646 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 13 ms to scan 1 urls, producing 1 keys and 5 values 
11:57:06.659 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 11 ms to scan 1 urls, producing 1 keys and 7 values 
11:57:06.674 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 11 ms to scan 1 urls, producing 2 keys and 8 values 
11:57:06.880 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 204 ms to scan 199 urls, producing 0 keys and 0 values 
11:57:06.881 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [d9398ccd-4495-438f-9eea-d534cf8e2d7f_config-0] RpcClient init label, labels = {module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
11:57:06.882 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [d9398ccd-4495-438f-9eea-d534cf8e2d7f_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$334/832145584
11:57:06.882 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [d9398ccd-4495-438f-9eea-d534cf8e2d7f_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$335/224060798
11:57:06.883 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [d9398ccd-4495-438f-9eea-d534cf8e2d7f_config-0] Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
11:57:06.883 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [d9398ccd-4495-438f-9eea-d534cf8e2d7f_config-0] RpcClient init, ServerListFactory = com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
11:57:06.889 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [d9398ccd-4495-438f-9eea-d534cf8e2d7f_config-0] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
11:57:19.683 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [d9398ccd-4495-438f-9eea-d534cf8e2d7f_config-0] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
11:57:22.687 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [d9398ccd-4495-438f-9eea-d534cf8e2d7f_config-0] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
11:57:25.700 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [d9398ccd-4495-438f-9eea-d534cf8e2d7f_config-0] Try to reconnect to a new server, server is  not appointed, will choose a random server.
11:57:25.701 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [d9398ccd-4495-438f-9eea-d534cf8e2d7f_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
11:57:25.702 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [d9398ccd-4495-438f-9eea-d534cf8e2d7f_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$344/521331027
11:57:27.065 [main] INFO  c.x.m.XmapMapApplication - [logStartupProfileInfo,637] - The following 1 profile is active: "dev"
11:57:27.894 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [d9398ccd-4495-438f-9eea-d534cf8e2d7f_config-0] Success to connect a server [127.0.0.1:8848], connectionId = 1691380647703_127.0.0.1_53813
11:57:27.894 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [d9398ccd-4495-438f-9eea-d534cf8e2d7f_config-0] Notify connected event to listeners.
11:57:29.919 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-9212"]
11:57:29.920 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
11:57:29.920 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.70]
