09:05:44.014 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.5.Final
09:05:45.799 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of 40799b73-8fe9-48bb-911b-5b7038b9bc21_config-0
09:05:45.891 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 58 ms to scan 1 urls, producing 3 keys and 6 values 
09:05:45.933 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 19 ms to scan 1 urls, producing 4 keys and 9 values 
09:05:45.962 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 25 ms to scan 1 urls, producing 3 keys and 10 values 
09:05:46.299 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 331 ms to scan 199 urls, producing 0 keys and 0 values 
09:05:46.316 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 15 ms to scan 1 urls, producing 1 keys and 5 values 
09:05:46.337 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 17 ms to scan 1 urls, producing 1 keys and 7 values 
09:05:46.360 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 20 ms to scan 1 urls, producing 2 keys and 8 values 
09:05:46.615 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 252 ms to scan 199 urls, producing 0 keys and 0 values 
09:05:46.618 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [40799b73-8fe9-48bb-911b-5b7038b9bc21_config-0] RpcClient init label, labels = {module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
09:05:46.620 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [40799b73-8fe9-48bb-911b-5b7038b9bc21_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$335/1752535057
09:05:46.621 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [40799b73-8fe9-48bb-911b-5b7038b9bc21_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$336/2116299597
09:05:46.622 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [40799b73-8fe9-48bb-911b-5b7038b9bc21_config-0] Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
09:05:46.624 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [40799b73-8fe9-48bb-911b-5b7038b9bc21_config-0] RpcClient init, ServerListFactory = com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
